article_id,product_code,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_group_name,section_no,section_name,detail_desc,price_mxn,image_url
690027001,690027,ELSA pullon,Trousers,Garment Lower body,Denim,Blue,Medium Dusty,Blue,Baby Girl Woven,Baby/Children,40,Baby Girl,"Pull-on trousers in soft denim with an elasticated drawstring waist, side pockets and narrow elastication at the hems.",487,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690027001.jpg
690033001,690033,ESTER 3-p mixed PJ,Pyjama set,Nightwear,All over pattern,Light Pink,Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Set with a long-sleeved top, pair of leggings and pair of shorts in jersey. Top with a sewn-on bow and print motif on the front. Leggings and shorts with an elasticated waist and all-over print. Shorts with a sewn-on bow at the front.",432,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690033001.jpg
690048001,690048,Naomi no lic.,Top,Garment Upper body,Sequin,Grey,Dusty Light,Grey,License,Baby/Children,77,Young Girl,Long-sleeved jersey top with reversible sequins on the front and a rounded hem. Slightly longer at the back.,444,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690048001.jpg
690054001,690054,ROSIE 10PACK boxer,Underwear bottom,Underwear,Solid,Light Pink,Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,515,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054001.jpg
690054002,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Turquoise,Light,Turquoise,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1104,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054002.jpg
690054004,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Yellow,Light,Yellow,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1444,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054004.jpg
690054006,690054,ROSIE 10-p boxer,Underwear bottom,Underwear,Solid,Light Grey,Dusty Light,Grey,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1075,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054006.jpg
690054007,690054,ROSIE 10PACK boxer,Underwear bottom,Underwear,Solid,Light Pink,Dusty Light,Pink,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1207,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054007.jpg
690054009,690054,ROSIE 10-p solid boxers,Underwear bottom,Underwear,Solid,Light Purple,Light,Lilac Purple,Kids Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,Boxer briefs in soft cotton jersey with an elasticated waist and a decorative bow at the front. Lined gusset.,1206,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690054009.jpg
690066001,690066,Dolly SL set,Pyjama set,Nightwear,Stripe,Light Blue,Light,Blue,Nightwear,Ladieswear,62,"Womens Nightwear, Socks & Tigh","Pyjamas with a strappy top and shorts in woven fabric. V-neck top in a double layer with narrow, double shoulder straps. Shorts with an elasticated waist and frill-trimmed hems.",1056,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690066001.jpg
690074001,690074,Boris fake down,Jacket,Garment Upper body,Solid,Light Orange,Dusty Light,Orange,Baby Boy Outdoor,Baby/Children,41,Baby Boy,"Lightly padded jacket in nylon with a ribbed stand-up collar, zip down the front with a chin guard, and ribbing at the cuffs and hem. Lined.",599,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690074001.jpg
690074002,690074,Boris fake down,Jacket,Garment Upper body,Solid,Dark Blue,Medium Dusty,Blue,Baby Boy Outdoor,Baby/Children,41,Baby Boy,"Lightly padded jacket in nylon with a ribbed stand-up collar, zip down the front with a chin guard, and ribbing at the cuffs and hem. Lined.",917,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690074002.jpg
690076001,690076,Berlin overall NB,Outdoor overall,Garment Full body,Solid,Light Orange,Dusty Light,Orange,Newborn,Baby/Children,44,Baby Essentials & Complements,"Lightly padded all-in-one suit in woven fabric. Pile-lined hood with sewn-on ears at the top, a zip with a chin guard at the front and elastication at the cuffs and hems. Foldover mitts and feet to keep the hands and feet warm. Soft pile lining.",373,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690076001.jpg
690076002,690076,Berlin overall NB,Outdoor overall,Garment Full body,Solid,Dark Blue,Dark,Blue,Newborn,Baby/Children,44,Baby Essentials & Complements,"Lightly padded all-in-one suit in woven fabric. Pile-lined hood with sewn-on ears at the top, a zip with a chin guard at the front and elastication at the cuffs and hems. Foldover mitts and feet to keep the hands and feet warm. Soft pile lining.",1428,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690076002.jpg
690077001,690077,Garment laundry bag,Nipple covers,Underwear,Solid,White,Light,White,Functional Lingerie,Ladieswear,61,Womens Lingerie,Mesh laundry bags with a zip.,404,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690077001.jpg
690090001,690090,LOVISA 2-p shorttop,Kids Underwear top,Underwear,Solid,White,Light,White,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Tops in cotton jersey with wide, printed shoulder straps and an elasticated hem.",702,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690090001.jpg
690091002,690091,CLEO shorttop,Kids Underwear top,Underwear,Solid,Black,Dark,Black,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,High-cut top in soft cotton jersey with a racer back and elasticated hem.,667,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690091002.jpg
690093001,690093,SIVAN 2PACK shorttop,Kids Underwear top,Underwear,Solid,Grey,Dusty Light,Grey,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Crop tops in soft jersey with narrow, adjustable shoulder straps and narrow elastication at the hem.",1026,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690093001.jpg
690093002,690093,SIVAN 2-p shorttop,Kids Underwear top,Underwear,Solid,Black,Dark,Black,Young Girl UW/NW,Baby/Children,79,Girls Underwear & Basics,"Crop tops in soft jersey with narrow, adjustable shoulder straps and narrow elastication at the hem.",318,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690093002.jpg
690102005,690102,Nanna skirt,Skirt,Garment Lower body,All over pattern,Light Beige,Dusty Light,Beige,Jersey,Ladieswear,18,Womens Trend,Pleated skirt in stretch jersey with a sheen. Elasticated waist and sewn-in wrapover at the front with ties at the waist. Unlined.,360,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690102005.jpg
690107001,690107,CS Jewel,Blouse,Garment Upper body,Embroidery,White,Light,White,Blouse,Ladieswear,15,Womens Everyday Collection,"Blouse in airy cotton poplin with broderie anglaise, an opening at the top and a small frilled collar with ties at the front. 3/4-length sleeves with flounced cuffs and a seam at the hem with a wide flounce. Unlined.",502,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690107001.jpg
690108001,690108,Straight 5pkt Lowprice,Trousers,Garment Lower body,Denim,Blue,Light,Blue,Denim trousers,Menswear,56,Denim Men,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs.",454,https://retail-bucket-ai-project.s3.us-west-1.amazonaws.com/069/0690108001.jpg
